,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9,age,country,engnat,gender,hand,race,source
12808,1,5,5,2,5,3,5,1,5,5,5,5,5,5,1,1,1,3,1,1,2,1,1,5,1,5,1,5,1,5,1,1,5,5,5,1,1,4,1,3,5,5,1,5,1,5,1,5,5,5,18,US,1,1,2,3,2
12809,5,4,1,1,5,1,5,5,5,5,4,3,4,5,1,3,5,5,3,5,2,5,3,3,5,1,4,2,1,5,5,5,1,5,1,1,5,5,5,5,5,5,1,5,1,5,1,4,4,5,19,US,1,1,1,13,5
12810,5,4,4,1,5,3,3,2,4,4,4,4,1,5,1,4,1,5,2,4,4,2,3,5,2,5,1,4,3,4,1,2,5,2,4,1,1,1,1,1,4,4,1,5,5,4,5,4,3,4,23,US,1,1,2,12,5
12811,2,3,5,1,4,2,2,2,4,4,5,4,2,3,1,5,1,5,1,5,2,3,4,4,4,3,4,3,4,3,3,2,3,3,2,2,2,3,2,2,3,3,3,4,4,3,2,4,3,3,22,CA,1,2,3,3,2
12812,4,4,3,3,4,2,4,3,4,4,2,4,4,3,3,2,4,4,4,4,2,4,4,3,4,4,4,2,5,2,3,2,4,4,4,2,2,3,3,3,4,4,3,4,2,4,2,5,4,4,25,AU,1,1,1,3,1
12813,1,3,4,1,5,1,5,1,5,5,3,4,1,4,3,4,4,3,3,3,3,5,4,2,3,4,1,3,4,3,5,2,2,5,3,1,2,5,3,4,2,5,2,4,1,1,1,3,1,5,29,US,2,2,1,13,5
12814,1,3,3,3,3,2,4,2,3,5,4,4,4,4,4,3,4,4,2,3,1,4,1,2,3,4,1,3,3,5,4,4,1,5,1,5,5,4,4,5,5,4,1,5,1,4,1,5,5,5,32,PL,2,2,1,3,1
12815,2,3,3,1,4,2,3,2,3,4,4,3,5,3,3,2,4,3,2,3,2,5,3,3,4,1,3,1,4,4,4,2,5,3,4,1,3,1,1,1,4,4,1,3,2,3,2,5,3,4,20,US,1,2,1,3,2
12816,1,5,4,2,5,2,5,1,5,5,4,5,2,4,2,3,1,5,2,4,3,4,1,5,1,5,2,4,2,4,3,2,3,3,4,2,3,2,1,3,5,5,2,4,2,5,2,4,4,4,31,US,1,2,1,6,5
12817,2,4,4,2,4,2,4,2,4,4,3,4,2,4,3,3,2,4,2,4,4,2,2,4,2,4,2,4,2,2,3,2,4,2,2,3,3,2,2,2,4,4,1,3,4,4,2,4,3,3,37,NZ,1,2,1,3,2
12818,3,3,3,2,3,3,2,3,3,3,4,4,3,4,1,2,2,3,2,4,2,3,4,3,3,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,5,4,1,3,1,5,2,5,4,4,35,SG,1,1,1,3,1
12819,1,4,3,3,5,1,4,1,5,5,2,3,4,4,4,1,5,4,4,3,1,5,3,1,5,3,2,1,2,5,4,5,1,5,1,5,5,5,5,5,5,4,2,5,2,3,2,4,3,3,16,US,1,2,1,3,1
12820,2,4,2,3,3,4,3,4,2,1,1,2,3,2,4,2,2,1,3,1,4,3,1,5,1,5,1,2,2,5,3,2,3,5,3,4,2,5,4,4,2,5,2,5,4,3,5,2,1,4,19,US,1,2,1,4,1
12821,2,4,4,1,5,3,4,3,3,4,4,4,3,4,5,1,5,4,4,5,3,5,4,3,5,3,4,3,2,3,5,5,2,5,1,5,4,5,5,4,3,4,4,5,3,4,1,3,3,4,23,US,2,2,1,1,5
12822,1,5,5,1,5,1,5,1,5,5,3,4,4,3,2,2,3,4,3,2,2,5,5,2,5,1,1,2,5,3,4,5,3,5,1,1,4,3,3,4,5,5,1,5,1,5,1,5,4,4,17,US,1,2,1,3,2
12823,3,3,4,1,3,2,3,3,3,2,3,4,2,3,2,3,3,4,1,4,2,3,5,4,4,3,4,2,4,2,3,1,5,2,3,2,1,2,1,3,4,4,2,4,1,4,1,4,4,5,20,US,1,1,1,3,5
12824,1,4,4,3,4,1,5,2,4,4,4,4,1,4,1,5,1,5,1,4,3,4,2,3,4,2,2,1,4,4,4,3,2,5,2,4,4,4,4,4,4,3,2,4,2,4,1,4,3,5,45,US,1,2,1,3,1
12825,1,4,4,2,4,1,3,1,4,4,3,2,4,3,2,3,4,3,2,2,4,2,2,5,2,4,2,4,2,4,2,2,3,2,3,1,2,2,2,2,4,4,2,5,1,4,1,5,4,3,57,US,1,2,1,3,5
12826,1,3,5,4,5,1,4,1,5,5,4,2,3,4,4,1,4,3,4,3,3,3,1,4,1,2,2,3,4,4,4,4,3,4,1,5,4,5,5,5,1,3,1,2,1,2,3,4,2,5,21,GB,1,2,1,3,1
12827,3,5,5,1,5,1,2,1,4,5,4,2,4,3,3,2,4,5,4,1,5,1,1,5,1,5,1,5,1,5,1,1,2,1,5,4,2,2,2,1,3,4,2,5,4,5,1,4,2,3,16,CA,2,2,1,1,1
12828,1,4,4,3,4,2,4,4,5,4,4,5,1,5,1,5,1,5,1,4,1,5,3,2,4,4,4,3,5,1,4,2,4,4,3,4,2,3,4,4,4,5,1,5,1,4,1,5,3,5,13,US,1,2,1,11,1
12829,1,5,5,1,5,1,4,1,5,5,5,5,1,5,1,5,1,5,1,5,4,2,1,5,2,5,1,5,2,5,2,2,4,4,4,1,1,1,2,1,5,5,2,2,3,4,2,5,4,5,41,US,1,2,1,3,2
12830,1,4,3,2,5,2,5,1,5,5,3,3,2,4,4,1,3,3,3,2,2,5,3,3,3,3,2,2,5,1,1,2,3,5,2,3,4,1,2,4,3,3,3,4,3,4,2,5,3,5,17,CA,1,2,1,3,5
12831,2,2,2,1,4,3,2,3,2,2,2,2,2,4,4,2,3,2,4,2,1,5,3,2,5,1,1,2,5,1,4,4,1,5,3,3,4,4,4,3,3,3,3,4,2,2,2,4,3,3,16,US,1,2,1,1,2
12832,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,3,3,4,2,4,4,2,2,4,2,4,2,4,2,4,3,2,4,3,2,2,2,2,2,2,4,4,2,4,2,4,2,4,4,4,40,IE,1,2,1,3,1
12833,4,4,4,1,4,3,2,2,3,2,5,3,2,5,1,4,2,3,3,4,3,2,3,5,1,4,1,4,4,4,2,2,4,4,3,2,3,2,2,3,4,5,2,4,2,4,1,4,3,4,21,US,1,1,2,6,5
12834,4,3,4,1,4,2,1,2,3,4,3,3,1,4,3,1,5,2,5,1,2,5,2,3,3,4,1,5,4,5,1,4,2,4,1,5,1,2,1,1,4,5,1,5,2,4,1,2,5,5,17,GB,1,1,2,3,1
